,train_loss,val_loss,train_r2,train_mae,val_r2,train_rmse,val_rmse,val_mae,batch_size,learning_rate,num_laters,num_neurons
0,0.3148035536392922,0.31787920296888483,0.6833782946496191,0.4135928213596344,0.6878286403448118,0.31480356156826017,0.3178791970014572,0.417294779419899,64,0.0001,2,16
1,0.2879219507792768,0.2944137815838662,0.7104133823988412,0.3936423406004906,0.7107833066829718,0.28792195171117785,0.29441378116607664,0.40064972192049025,64,0.0001,2,32
2,0.26005720796996784,0.276997027963957,0.7384367499915814,0.3729310676455498,0.7280009660813328,0.2600572109222412,0.2769970327615738,0.3875812992453575,64,0.0001,2,64
3,0.30678333128661717,0.31083675568105185,0.6914424810812865,0.40723175555467606,0.6947115625109224,0.3067833334207535,0.3108367592096329,0.4122743457555771,64,0.0001,3,16
4,0.2803845958741802,0.2862917279180522,0.7179924868753174,0.38872309923172,0.7188159469866119,0.2803846001625061,0.2862917214632034,0.39398396760225296,64,0.0001,3,32
5,0.2514948960295328,0.2737606026824111,0.7470534862935814,0.3668348267674446,0.7310760183713063,0.2514948911964893,0.27376060038805006,0.38522659093141554,64,0.0001,3,64
6,0.3323591630375611,0.34058073486471285,0.665720854351988,0.4269346758723259,0.6653930628338082,0.33235915303230285,0.34058073461055755,0.43363531231880187,64,0.0001,10,16
7,0.2807203319534953,0.290912835265153,0.7176572056873389,0.3886259227991104,0.7143826559890386,0.28072033524513246,0.2909128427505493,0.3976037919521332,64,0.0001,10,32
8,0.23957331722031502,0.27240468690990005,0.759041325158169,0.3587540462613106,0.7324483623476319,0.23957331627607345,0.272404682636261,0.3815903663635254,64,0.0001,10,64
9,0.2861631390414978,0.2906510724242185,0.7121840269199827,0.39252340644598005,0.7143836645986374,0.2861631289124489,0.290651074051857,0.3992007687687874,64,0.001,2,16
10,0.25740879151592216,0.27497630379223653,0.7411030235282802,0.37324610352516174,0.729907495982166,0.2574087902903557,0.2749763011932373,0.3876522436738014,64,0.001,2,32
11,0.2173773925840145,0.26046897107474154,0.7813669186947301,0.3437767863273621,0.7441842437426711,0.21737739220261573,0.26046897023916243,0.37611098289489747,64,0.001,2,64
12,0.2768023412794214,0.28278754585744614,0.7215944951459649,0.3864827647805214,0.7222696739795355,0.27680233865976334,0.28278754502534864,0.39381942003965376,64,0.001,3,16
13,0.2479043525815257,0.2687592491072332,0.7506620225702978,0.36567571610212324,0.7360907104025249,0.24790435060858726,0.268759249150753,0.3821107968688011,64,0.001,3,32
14,0.20021035479657412,0.25705987844511724,0.7986337196020161,0.33044711500406265,0.7474183428988086,0.20021035224199296,0.25705987960100174,0.3722482606768608,64,0.001,3,64
15,0.2818447226417438,0.28927956722398224,0.7165269661499089,0.38943676352500917,0.7159850568538209,0.2818447217345238,0.289279568195343,0.3975416496396065,64,0.001,10,16
16,0.2438667410506441,0.2676655728892189,0.7547209811605441,0.3631401419639587,0.7371428232513233,0.2438667394220829,0.2676655754446983,0.37994429618120196,64,0.001,10,32
17,0.19618549594003903,0.2617464430873918,0.8026823484876152,0.32872606813907623,0.7429255911512554,0.19618549793958664,0.2617464423179626,0.3742567911744118,64,0.001,10,64
18,0.3054261937122368,0.3114222051523557,0.6928090507655325,0.4082297503948212,0.694209062072928,0.3054261922836304,0.31142220348119737,0.4142989620566368,64,0.01,2,16
19,0.2795107519406417,0.29204288991255184,0.7188748109436478,0.3900602489709854,0.7132334791443364,0.27951075285673144,0.2920428901910782,0.4025074511766434,64,0.01,2,32
20,0.2731043451074241,0.2864228557220826,0.7253147577984173,0.38558441400527954,0.7186600816075582,0.2731043338775635,0.28642285615205765,0.39656719416379926,64,0.01,2,64
21,0.308226195202396,0.31027369934404003,0.6899888528201468,0.40943513959646227,0.6951721511562572,0.3082261949777603,0.310273702442646,0.41314235627651213,64,0.01,3,16
22,0.2906483466411106,0.2937790281600624,0.7076718899122191,0.3965973868966103,0.7114631417601409,0.29064834117889404,0.2937790349125862,0.4020610198378563,64,0.01,3,32
