IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,City,DateStart,DateStop,Latitude,Longitude,Typology
20004,705,BlackCarbon,Milano - Pascal Città Studi,122,MI,Milano,2013-09-30,NA,45.47899606168744,9.235491038497502,UB
5542,539,NO2,Milano - viale Liguria,115,MI,Milano,1991-10-24,NA,45.443857653564926,9.167944501742676,UT
12590,669,Cadmium,Brescia - Villaggio Sereno,70,BS,Brescia,2008-04-01,NA,45.513038818653754,10.19194188877931,UB
6623,574,PM_tot,Lecco - Via Amendola,214,LC,Lecco,1991-02-17,1999-11-01,45.850191194578535,9.395577066893223,UT
6264,608,NOx,Codogno - via Trento,59,LO,Codogno,2000-01-13,NA,45.15937280234111,9.69814824935254,UT
17286,1374,NO2,Monza Parco,181,MB,Monza,2013-05-01,NA,45.60123219955139,9.27507265782848,SB
5652,558,Sulfur_dioxide,Busto Arsizio - Accam,206,VA,Busto Arsizio,1998-12-06,NA,45.582894292717725,8.842165456706075,SB
5539,536,NO2,Arese,157,MI,Arese,1991-10-16,2018-07-30,45.543433254501636,9.080725831284644,NA
5661,591,Sulfur_dioxide,Seriate,256,BG,Seriate,1991-10-31,2003-06-03,45.68635606439914,9.714947917631529,NA
6330,542,NOx,Meda,222,MB,Meda,1995-11-01,NA,45.66176219189168,9.156643984551597,UT
6204,592,NOx,Treviglio,191,BG,Treviglio,1991-06-02,NA,45.51933498138716,9.592009994888425,UT
6198,589,NOx,Nembro $,309,BG,Nembro,1991-06-07,2007-03-14,45.743036830343144,9.760535572770022,NA
6242,577,NOx,Calolziocorte,215,LC,Calolziocorte,1994-11-29,2018-07-30,45.80209550514092,9.429467320277878,NA
12020,1297,Ozone,Spinadesco,48,CR,Spinadesco,2011-02-04,NA,45.150468869856816,9.930596472272326,RI
6364,517,NOx,Turbigo,141,MI,Turbigo,1990-01-11,NA,45.52655086994247,8.736496578379215,UB
5828,542,CO,Meda,222,MB,Meda,1995-11-01,NA,45.66176219189168,9.156643984551597,UT
5504,501,NO2,Milano - viale Marche,129,MI,Milano,1980-09-18,NA,45.49631644365102,9.190933555313624,UT
17082,569,Benzo_a_pyrene,Sondrio - via Mazzini,307,SO,Sondrio,2008-04-22,2011-12-30,46.16796681227828,9.87014407497457,UT
6832,657,Ozone,Lonato,180,BS,Lonato del Garda,2004-03-14,NA,45.463753136210265,10.480772043571283,UB
20082,573,Ammonia,Colico,229,LC,Colico,2013-11-20,NA,46.1381409051264,9.384687247651794,SB
5564,561,NO2,Como - viale Cattaneo,202,CO,Como,1991-02-17,NA,45.81504286011291,9.06697137484454,UT
6912,546,PM10,Magenta,137,MI,Magenta,1998-02-25,NA,45.462415791106615,8.880210433125571,UB
6392,557,NOx,Lonate Pozzolo,204,VA,Lonate Pozzolo,1996-12-05,2018-07-30,45.59402351710858,8.7407965765392,NA
12579,1303,NO2,Cremona - via Gerre Borghi,36,CR,Cremona,2012-01-01,2017-01-01,45.10953938027215,10.069230734956498,RB
6831,657,NOx,Lonato,180,BS,Lonato del Garda,1990-01-01,NA,45.463753136210265,10.480772043571283,UB
6346,514,NOx,Rho - via Statuto,152,MI,Rho,1991-10-03,NA,45.523425662003476,9.044599871111005,UB
10019,685,NO2,Calusco d' Adda,273,BG,Calusco d'Adda,2006-06-30,NA,45.69042907854514,9.484260927647789,SB
5568,565,NO2,Cantù - via Meucci,369,CO,Cantù,1994-02-15,NA,45.73083672267427,9.125734327022926,SB
9802,670,NO2,Mantova - S.Agnese,22,MN,Mantova,2004-12-31,NA,45.16056833010576,10.79556411370788,UB
5815,536,CO,Arese,157,MI,Arese,1991-10-15,2011-07-22,45.543433254501636,9.080725831284644,NA
5737,578,Ozone,Varenna $,220,LC,Varenna,1991-02-17,2008-02-07,46.00942283474235,9.285304059583972,NA
5685,576,Sulfur_dioxide,Merate,279,LC,Merate,1991-02-17,2003-07-30,45.69795198970243,9.406190938686596,UT
20032,693,NOx,Sannazzaro de' Burgondi - AGIP,85,PV,Sannazzaro de' Burgondi,2013-10-24,NA,45.10276627684137,8.90417452771467,UI
9918,664,NOx,Mantova - p.zza Gramsci,18,MN,Mantova,2004-06-08,NA,45.151743379576594,10.78140770009565,UT
30158,649,PM2.5,Brescia - Broletto,149,BS,Brescia,2013-12-13,NA,45.540057846971386,10.222818449274216,UT
5580,577,NO2,Calolziocorte,215,LC,Calolziocorte,1994-11-28,2018-07-30,45.80209550514092,9.429467320277878,NA
10456,1265,PM2.5,Lodi - S. Alberto,76,LO,Lodi,2009-08-03,NA,45.302783503095775,9.495273696926324,UB
5846,570,CO,Tirano - viale Italia,439,SO,Tirano,1996-05-30,2018-07-30,46.21774621439411,10.156470232146322,NA
12685,633,Arsenic,Soresina,70,CR,Soresina,2008-04-01,NA,45.28397715446764,9.863398419993635,ST
6940,601,PM10,Montanaso,84,LO,Montanaso Lombardo,2004-07-30,2017-01-01,45.33613100905199,9.45255388178171,RI
10320,548,PM10,Milano - via Senato,118,MI,Milano,2007-08-10,NA,45.470499014097,9.197460360112531,UT
10018,685,Benzene,Calusco d' Adda,273,BG,Calusco d'Adda,2006-06-30,NA,45.69042907854514,9.484260927647789,SB
6880,665,NO2,Viadana,37,MN,Viadana,2003-10-25,NA,44.92469404955067,10.517502067117825,NA
5679,562,Sulfur_dioxide,Mariano Comense,256,CO,Mariano Comense,1991-02-17,2002-06-05,45.68865731381679,9.180657768638271,NA
9856,672,Ozone,Cornale (Voghera Energia),74,PV,Cornale,2005-07-29,NA,45.04007657202963,8.914144599002409,RB
10004,684,NOx,Truccazzano,105,MI,Truccazzano,2006-02-17,2018-01-01,45.48455813667995,9.471348388974729,NA
6368,507,NOx,Villasanta $,176,MB,Villasanta,1990-02-13,2010-06-20,45.608621349658364,9.307118451572562,NA
10133,700,CO,Melara,12,RO,Melara,2006-11-28,NA,45.063214361613305,11.20921074969938,NA
10405,584,PM10,Bergamo - via Garibaldi,249,BG,Bergamo,2008-12-19,NA,45.69568034432694,9.66124914606551,UT
6062,503,Benzene,Milano - P.zza  Zavattari,122,MI,Milano,2000-01-17,2018-07-30,45.47606340509791,9.141786267186658,NA
