"","Date","IDStation","PM2.5"
"199",2016-07-18,583,15
"200",2016-07-19,583,21
"201",2016-07-20,583,24
"202",2016-07-21,583,22
"203",2016-07-22,583,11
"204",2016-07-23,583,11
"205",2016-07-24,583,9
"206",2016-07-25,583,14
"207",2016-07-26,583,7
"208",2016-07-27,583,12
"209",2016-07-28,583,7
"210",2016-07-29,583,12
"211",2016-07-30,583,18
"212",2016-07-31,583,11
"213",2016-08-01,583,6
"214",2016-08-02,583,7
"215",2016-08-03,583,15
"216",2016-08-04,583,15
"217",2016-08-05,583,2
"218",2016-08-06,583,2
"219",2016-08-07,583,6
"220",2016-08-08,583,10
"221",2016-08-09,583,13
"222",2016-08-10,583,6
"223",2016-08-11,583,3
"224",2016-08-12,583,6
"225",2016-08-13,583,12
"226",2016-08-14,583,17
"227",2016-08-15,583,12
"228",2016-08-16,583,9
"229",2016-08-17,583,7
"230",2016-08-18,583,11
"231",2016-08-19,583,11
"232",2016-08-20,583,12
"233",2016-08-21,583,6
"234",2016-08-22,583,7
"235",2016-08-23,583,8
"236",2016-08-24,583,9
"237",2016-08-25,583,14
"238",2016-08-26,583,14
"239",2016-08-27,583,17
"240",2016-08-28,583,18
"241",2016-08-29,583,16
"242",2016-08-30,583,8
"243",2016-08-31,583,14
"244",2016-09-01,583,16
"245",2016-09-02,583,21
"246",2016-09-03,583,22
"247",2016-09-04,583,19
"248",2016-09-05,583,11
"249",2016-09-06,583,8
"250",2016-09-07,583,11
"251",2016-09-08,583,19
"252",2016-09-09,583,20
"253",2016-09-10,583,15
"254",2016-09-11,583,8
"255",2016-09-12,583,16
"256",2016-09-13,583,19
"257",2016-09-14,583,21
"258",2016-09-15,583,14
"259",2016-09-16,583,7
"260",2016-09-17,583,9
"261",2016-09-18,583,1
"262",2016-09-19,583,6
"263",2016-09-20,583,8
"264",2016-09-21,583,10
"265",2016-09-22,583,14
"266",2016-09-23,583,21
"267",2016-09-24,583,13
"268",2016-09-25,583,15
"269",2016-09-26,583,27
"270",2016-09-27,583,22
"271",2016-09-28,583,29
"272",2016-09-29,583,50
"273",2016-09-30,583,28
"274",2016-10-01,583,10
"275",2016-10-02,583,15
"276",2016-10-03,583,12
"277",2016-10-04,583,6
"278",2016-10-05,583,12
"279",2016-10-06,583,10
"280",2016-10-07,583,20
"281",2016-10-08,583,26
"282",2016-10-09,583,9
"283",2016-10-10,583,5
"284",2016-10-11,583,8
"285",2016-10-12,583,8
"286",2016-10-13,583,13
"287",2016-10-14,583,7
"288",2016-10-15,583,10
"289",2016-10-16,583,11
"290",2016-10-17,583,21
"291",2016-10-18,583,26
"292",2016-10-19,583,37
"293",2016-10-20,583,15
"294",2016-10-21,583,14
"295",2016-10-22,583,28
"296",2016-10-23,583,25
"297",2016-10-24,583,19
"298",2016-10-25,583,21
"299",2016-10-26,583,16
"300",2016-10-27,583,11
"301",2016-10-29,583,21
"302",2016-10-30,583,33
"303",2016-10-31,583,37
"304",2016-11-01,583,41
"305",2016-11-02,583,48
"306",2016-11-03,583,28
"307",2016-11-04,583,14
"308",2016-11-05,583,15
"309",2016-11-06,583,10
"310",2016-11-07,583,7
"311",2016-11-08,583,17
"312",2016-11-09,583,29
"313",2016-11-10,583,45
"314",2016-11-11,583,56
"315",2016-11-12,583,24
"316",2016-11-13,583,19
"317",2016-11-14,583,29
"318",2016-11-15,583,30
"319",2016-11-16,583,52
"320",2016-11-17,583,85
"321",2016-11-18,583,78
"322",2016-11-19,583,45
"323",2016-11-20,583,27
"324",2016-11-21,583,30
"325",2016-11-22,583,11
"326",2016-11-23,583,17
"327",2016-11-24,583,18
"328",2016-11-25,583,9
"329",2016-11-26,583,9
"330",2016-11-27,583,15
"331",2016-11-28,583,18
"332",2016-11-29,583,14
"333",2016-11-30,583,23
"334",2016-12-01,583,37
"335",2016-12-02,583,33
"336",2016-12-03,583,58
"337",2016-12-04,583,72
"338",2016-12-05,583,74
"339",2016-12-06,583,51
"340",2016-12-07,583,43
"341",2016-12-08,583,56
"342",2016-12-09,583,62
"343",2016-12-10,583,69
"344",2016-12-11,583,63
"345",2016-12-12,583,43
"346",2016-12-13,583,46
"347",2016-12-14,583,43
"348",2016-12-15,583,54
"349",2016-12-16,583,47
"350",2016-12-17,583,53
"351",2016-12-18,583,63
"352",2016-12-19,583,48
"353",2016-12-20,583,30
"354",2016-12-21,583,37
"355",2016-12-22,583,37
"356",2016-12-23,583,31
"357",2016-12-24,583,34
"358",2016-12-25,583,31
"359",2016-12-26,583,33
"360",2016-12-27,583,17
"361",2016-12-28,583,33
"362",2016-12-29,583,19
"363",2016-12-30,583,31
"364",2016-12-31,583,47
"365",2017-01-01,583,40
"366",2017-01-02,583,51
"367",2017-01-03,583,48
"368",2017-01-04,583,30
"369",2017-01-05,583,8
"370",2017-01-06,583,15
"371",2017-01-07,583,23
"372",2017-01-08,583,30
"373",2017-01-09,583,57
"374",2017-01-10,583,39
"375",2017-01-11,583,38
"376",2017-01-12,583,51
"377",2017-01-13,583,23
"378",2017-01-14,583,13
"379",2017-01-15,583,22
"380",2017-01-16,583,20
"381",2017-01-17,583,25
"382",2017-01-18,583,36
"383",2017-01-19,583,42
"384",2017-01-20,583,48
"385",2017-01-21,583,55
"386",2017-01-22,583,33
"387",2017-01-23,583,35
"388",2017-01-24,583,30
"389",2017-01-25,583,38
"390",2017-01-26,583,44
"391",2017-01-27,583,57
"392",2017-01-28,583,83
"393",2017-01-29,583,110
"394",2017-01-30,583,128
"395",2017-01-31,583,170
"396",2017-02-01,583,162
"397",2017-02-02,583,98
"398",2017-02-03,583,32
"399",2017-02-04,583,21
"400",2017-02-05,583,14
"401",2017-02-06,583,21
"402",2017-02-07,583,18
"403",2017-02-08,583,22
"404",2017-02-09,583,35
"405",2017-02-10,583,37
"406",2017-02-11,583,NA
"407",2017-02-12,583,38
"408",2017-02-13,583,43
"409",2017-02-14,583,39
"410",2017-02-15,583,34
"411",2017-02-16,583,42
"412",2017-02-17,583,35
"413",2017-02-18,583,63
"414",2017-02-19,583,60
"415",2017-02-20,583,64
"416",2017-02-21,583,48
"417",2017-02-22,583,81
"418",2017-02-23,583,65
"419",2017-02-24,583,60
"420",2017-02-25,583,21
"421",2017-02-26,583,30
"422",2017-02-27,583,38
"423",2017-02-28,583,20
"424",2017-03-01,583,13
"425",2017-03-02,583,18
"426",2017-03-03,583,33
"427",2017-03-04,583,24
"428",2017-03-05,583,6
"429",2017-03-06,583,8
"430",2017-03-07,583,4
"431",2017-03-08,583,20
"432",2017-03-09,583,31
"433",2017-03-10,583,20
"434",2017-03-11,583,18
"435",2017-03-12,583,19
"436",2017-03-13,583,26
"437",2017-03-14,583,45
"438",2017-03-15,583,54
"439",2017-03-16,583,77
"440",2017-03-17,583,93
"441",2017-03-18,583,37
"442",2017-03-19,583,37
"443",2017-03-20,583,59
"444",2017-03-21,583,63
"445",2017-03-22,583,50
"446",2017-03-23,583,22
"447",2017-03-24,583,14
"448",2017-03-25,583,28
"449",2017-03-26,583,9
"450",2017-03-27,583,18
"451",2017-03-28,583,26
"452",2017-03-29,583,22
"453",2017-03-30,583,26
"454",2017-03-31,583,35
"455",2017-04-01,583,27
"456",2017-04-02,583,23
"457",2017-04-03,583,17
"458",2017-04-04,583,19
"459",2017-04-05,583,17
"460",2017-04-06,583,26
"461",2017-04-07,583,28
"462",2017-04-08,583,33
"463",2017-04-09,583,33
"464",2017-04-10,583,21
"465",2017-04-11,583,23
"466",2017-04-12,583,19
"467",2017-04-13,583,24
"468",2017-04-14,583,23
"469",2017-04-15,583,19
"470",2017-04-16,583,11
"471",2017-04-20,583,16
"472",2017-04-21,583,19
"473",2017-04-22,583,19
"474",2017-04-23,583,19
"475",2017-04-24,583,18
"476",2017-04-25,583,26
"477",2017-04-26,583,7
"478",2017-04-27,583,9
"479",2017-04-28,583,8
"480",2017-04-29,583,11
"481",2017-04-30,583,17
"482",2017-05-01,583,13
"483",2017-05-02,583,6
"484",2017-05-03,583,7
"485",2017-05-04,583,12
"486",2017-05-05,583,11
"487",2017-05-06,583,19
"488",2017-05-07,583,11
"489",2017-05-08,583,8
"490",2017-05-09,583,8
"491",2017-05-10,583,16
"492",2017-05-11,583,24
"493",2017-05-12,583,16
"494",2017-05-13,583,9
"495",2017-05-14,583,13
"496",2017-05-15,583,11
"497",2017-05-16,583,11
"498",2017-05-17,583,17
"499",2017-05-18,583,17
"500",2017-05-19,583,16
"501",2017-05-20,583,10
"502",2017-05-21,583,5
"503",2017-05-22,583,16
"504",2017-05-23,583,11
"505",2017-05-24,583,14
"506",2017-05-25,583,15
"507",2017-05-26,583,14
"508",2017-05-27,583,16
"509",2017-05-28,583,13
"510",2017-05-29,583,16
"511",2017-05-30,583,21
"512",2017-05-31,583,16
"513",2017-06-01,583,17
"514",2017-06-02,583,14
"515",2017-06-03,583,11
"516",2017-06-04,583,10
"517",2017-06-05,583,9
"518",2017-06-06,583,12
"519",2017-06-07,583,7
"520",2017-06-08,583,12
"521",2017-06-09,583,24
"522",2017-06-10,583,24
"523",2017-06-11,583,19
"524",2017-06-12,583,18
"525",2017-06-13,583,26
"526",2017-06-14,583,23
"527",2017-06-15,583,22
"528",2017-06-16,583,7
"529",2017-06-17,583,13
"530",2017-06-18,583,8
"531",2017-06-19,583,13
"532",2017-06-20,583,15
"533",2017-06-21,583,20
"534",2017-06-22,583,20
"535",2017-06-23,583,20
"536",2017-06-24,583,23
"537",2017-06-25,583,8
"538",2017-06-26,583,11
"539",2017-06-27,583,8
"540",2017-06-28,583,8
"541",2017-06-29,583,4
"542",2017-06-30,583,7
"543",2017-07-01,583,6
"544",2017-07-02,583,2
"545",2017-07-03,583,7
"546",2017-07-04,583,9
"547",2017-07-05,583,16
"548",2017-07-06,583,19
"549",2017-07-07,583,22
"550",2017-07-08,583,20
"551",2017-07-09,583,12
"552",2017-07-10,583,9
"553",2017-07-11,583,10
"554",2017-07-12,583,16
"555",2017-07-13,583,13
"556",2017-07-14,583,7
"557",2017-07-15,583,7
"558",2017-07-16,583,6
"559",2017-07-17,583,8
"560",2017-07-18,583,11
"561",2017-07-19,583,18
"562",2017-07-20,583,16
"563",2017-07-21,583,19
"564",2017-07-22,583,14
"565",2017-07-23,583,12
"566",2017-07-24,583,9
"567",2017-07-25,583,2
"568",2017-07-26,583,4
"569",2017-07-27,583,10
"570",2017-07-28,583,15
"571",2017-07-29,583,14
"572",2017-07-30,583,9
"573",2017-07-31,583,9
"574",2017-08-01,583,17
"575",2017-08-02,583,26
"576",2017-08-03,583,23
"577",2017-08-04,583,22
"578",2017-08-05,583,21
"579",2017-08-06,583,9
"580",2017-08-07,583,3
"581",2017-08-08,583,8
"582",2017-08-09,583,9
"583",2017-08-10,583,11
"584",2017-08-11,583,7
"585",2017-08-12,583,3
"586",2017-08-13,583,5
"587",2017-08-14,583,8
"588",2017-08-17,583,7
"589",2017-08-18,583,12
"590",2017-08-19,583,9
"591",2017-08-20,583,7
"592",2017-08-21,583,6
"593",2017-08-22,583,10
"594",2017-08-23,583,16
"595",2017-08-24,583,16
"596",2017-08-25,583,19
"597",2017-08-26,583,17
"598",2017-08-27,583,14
"599",2017-08-28,583,17
"600",2017-08-29,583,11
"601",2017-08-30,583,16
"602",2017-08-31,583,17
"603",2017-09-01,583,8
"604",2017-09-02,583,3
"605",2017-09-03,583,5
"606",2017-09-04,583,9
"607",2017-09-05,583,15
"608",2017-09-06,583,20
"609",2017-09-07,583,16
"610",2017-09-08,583,15
"611",2017-09-09,583,13
"612",2017-09-10,583,8
"613",2017-09-11,583,8
"614",2017-09-12,583,9
"615",2017-09-13,583,9
"616",2017-09-14,583,18
"617",2017-09-15,583,9
"618",2017-09-16,583,11
"619",2017-09-17,583,6
"620",2017-09-18,583,7
"621",2017-09-19,583,13
"622",2017-09-20,583,14
"623",2017-09-21,583,13
"624",2017-09-22,583,14
"625",2017-09-23,583,15
"626",2017-09-24,583,18
"627",2017-09-25,583,12
"628",2017-09-26,583,20
"629",2017-09-27,583,27
"630",2017-09-28,583,29
"631",2017-09-29,583,32
"632",2017-09-30,583,22
"633",2017-10-01,583,24
"634",2017-10-02,583,36
"635",2017-10-03,583,42
"636",2017-10-04,583,53
"637",2017-10-05,583,34
"638",2017-10-06,583,27
"639",2017-10-07,583,11
"640",2017-10-08,583,14
"641",2017-10-09,583,23
"642",2017-10-10,583,32
"643",2017-10-11,583,50
"644",2017-10-12,583,56
"645",2017-10-13,583,65
"646",2017-10-14,583,60
"647",2017-10-15,583,49
"648",2017-10-16,583,49
"649",2017-10-17,583,57
"650",2017-10-18,583,74
"651",2017-10-21,583,94
"652",2017-10-22,583,58
"653",2017-10-23,583,10
"654",2017-10-24,583,15
"655",2017-10-25,583,22
"656",2017-10-26,583,43
"657",2017-10-27,583,53
"658",2017-10-28,583,34
"659",2017-10-29,583,27
"660",2017-10-30,583,30
"661",2017-10-31,583,19
"662",2017-11-01,583,36
"663",2017-11-02,583,57
"664",2017-11-03,583,50
"665",2017-11-05,583,25
"666",2017-11-10,583,17
"667",2017-11-11,583,27
"668",2017-11-12,583,36
"669",2017-11-13,583,13
"670",2017-11-14,583,13
"671",2017-11-15,583,22
"672",2017-11-16,583,29
"673",2017-11-17,583,32
"674",2017-11-18,583,24
"675",2017-11-19,583,25
"676",2017-11-20,583,37
"677",2017-11-21,583,32
"678",2017-11-22,583,70
"679",2017-11-23,583,80
"680",2017-11-24,583,54
"681",2017-11-25,583,43
"682",2017-11-26,583,10
"683",2017-11-27,583,16
"684",2017-11-28,583,33
"685",2017-11-29,583,44
"686",2017-11-30,583,46
"687",2017-12-01,583,22
"688",2017-12-02,583,26
"689",2017-12-03,583,22
"690",2017-12-04,583,34
"691",2017-12-05,583,51
"692",2017-12-06,583,22
"693",2017-12-07,583,39
"694",2017-12-08,583,72
"695",2017-12-09,583,11
"696",2017-12-10,583,20
"697",2017-12-11,583,32
"698",2017-12-12,583,37
"699",2017-12-13,583,45
"700",2017-12-14,583,37
"701",2017-12-15,583,45
"702",2017-12-16,583,29
"703",2017-12-17,583,22
"704",2017-12-18,583,25
"705",2017-12-19,583,37
"706",2017-12-20,583,55
"707",2017-12-21,583,69
"708",2017-12-22,583,90
"709",2017-12-23,583,49
"710",2017-12-24,583,38
"711",2017-12-25,583,32
"712",2017-12-26,583,58
"713",2017-12-27,583,15
"714",2017-12-28,583,9
"715",2017-12-29,583,14
"716",2017-12-30,583,19
"717",2017-12-31,583,42
"718",2018-01-01,583,39
"719",2018-01-02,583,19
"720",2018-01-03,583,22
"721",2018-01-04,583,24
"722",2018-01-05,583,37
"723",2018-01-06,583,30
"724",2018-01-07,583,32
"725",2018-01-08,583,18
"726",2018-01-09,583,13
"727",2018-01-10,583,15
"728",2018-01-11,583,23
"729",2018-01-12,583,22
"730",2018-01-13,583,30
"731",2018-01-14,583,31
"732",2018-01-15,583,56
"733",2018-01-16,583,57
"734",2018-01-17,583,28
"735",2018-01-18,583,14
"736",2018-01-19,583,29
"737",2018-01-22,583,28
"738",2018-01-23,583,42
"739",2018-01-24,583,54
"740",2018-01-25,583,52
"741",2018-01-26,583,71
"742",2018-01-27,583,45
"743",2018-01-28,583,36
"744",2018-01-29,583,45
"745",2018-01-30,583,39
"746",2018-01-31,583,51
"747",2018-02-01,583,21
"748",2018-02-02,583,12
"749",2018-02-03,583,18
"750",2018-02-04,583,19
"751",2018-02-05,583,17
"752",2018-02-06,583,21
"753",2018-02-07,583,32
"754",2018-02-08,583,46
"755",2018-02-09,583,31
"756",2018-02-10,583,34
"757",2018-02-11,583,39
"758",2018-02-12,583,38
"759",2018-02-13,583,25
"760",2018-02-14,583,31
"761",2018-02-15,583,49
"762",2018-02-16,583,73
"763",2018-02-17,583,75
"764",2018-02-18,583,56
"765",2018-02-19,583,26
"766",2018-02-21,583,47
"767",2018-02-22,583,41
"768",2018-02-23,583,36
"769",2018-02-24,583,39
"770",2018-02-25,583,22
"771",2018-02-26,583,23
"772",2018-02-27,583,29
"773",2018-02-28,583,44
"774",2018-03-01,583,58
"775",2018-03-02,583,78
"776",2018-03-03,583,46
"777",2018-03-04,583,46
"778",2018-03-05,583,52
"779",2018-03-06,583,47
"780",2018-03-07,583,29
"781",2018-03-08,583,20
"782",2018-03-09,583,23
"783",2018-03-10,583,26
"784",2018-03-11,583,22
"785",2018-03-12,583,14
"786",2018-03-13,583,24
"787",2018-03-14,583,25
"788",2018-03-15,583,18
"789",2018-03-16,583,13
"790",2018-03-17,583,17
"791",2018-03-18,583,7
"792",2018-03-19,583,9
"793",2018-03-20,583,25
"794",2018-03-21,583,26
"795",2018-03-22,583,28
"796",2018-03-23,583,41
"797",2018-03-24,583,30
"798",2018-03-25,583,29
"799",2018-03-26,583,36
"800",2018-03-27,583,40
"801",2018-03-28,583,32
"802",2018-03-29,583,38
"803",2018-03-30,583,22
"804",2018-03-31,583,10
"805",2018-04-01,583,5
"806",2018-04-02,583,7
"807",2018-04-03,583,16
"808",2018-04-04,583,15
"809",2018-04-05,583,29
"810",2018-04-06,583,33
"811",2018-04-07,583,42
"812",2018-04-08,583,32
"813",2018-04-09,583,20
"814",2018-04-10,583,15
"815",2018-04-11,583,7
"816",2018-04-12,583,4
"817",2018-04-13,583,7
"818",2018-04-14,583,11
